serial_no,procedure_name,cghs_rate,nabh_hospital_rate,non_nabh_hospital_rate,category
383,Marrow Biopsy (Open),1060.0,1219.0,1060.0,Surgery
385,Scalene Node Biopsy,1350.0,1553.0,1350.0,Surgery
386,Excision of Sebaceous Cysts,1242.0,1428.0,1242.0,Surgery
387,Excision of Superficial Lipoma,1932.0,2222.0,1932.0,Surgery
388,Excision of Superficial Neurofibroma,2500.0,2875.0,2500.0,Surgery
389,Excision of Dermoid Cysts,2277.0,2619.0,2277.0,Surgery
390,Haemorrhoidectomy,25500.0,30000.0,25500.0,Surgery
391,Stappler haemorrhoidectomy,37145.0,43700.0,37145.0,Surgery
392,keloid excision,1150.0,1323.0,1150.0,Surgery
393,Varicose vein surgery-Trendelenburg operation with suturing or ligation,19550.0,23000.0,19550.0,Surgery
394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,28750.0,33063.0,28750.0,Surgery
395,Operations for Replacement of Oesophagus by Colon,25000.0,28750.0,25000.0,Surgery
396,Oesophagectomy for Carcinoma Easophagus,25000.0,28750.0,25000.0,Surgery
397,Oesophageal Intubation (Mausseau Barbin Tube),11500.0,13225.0,11500.0,Surgery
398,Achalasia Cardia Transthoracic,14950.0,17193.0,14950.0,Surgery
399,Achalasia Cardia Abdominal,12650.0,14548.0,12650.0,Surgery
400,Oesophago Gastrectomy for mid 1/3 lesion,24495.0,28169.0,24495.0,Surgery
401,Heller’s Operation,19750.0,22713.0,19750.0,Surgery
402,Colon-Inter position or Replacement of Oesophagus,22540.0,25921.0,22540.0,Surgery
403,Oesophago Gastrectomy – Lower Corringers procedure,21390.0,24599.0,21390.0,Surgery
404,Other Major Surgery-Oesophagus,27625.0,31769.0,27625.0,Surgery
405,Other Minor Surgery-Oesophagus,5000.0,5750.0,5000.0,Surgery
406,Gastroscopy,1725.0,1984.0,1725.0,Scan
407,Gastric & Duodenal Biopsy (Endoscopic),1950.0,2243.0,1950.0,Surgery
408,Pyloromyotomy,2800.0,3220.0,2800.0,Surgery
409,Gastrostomy,8625.0,9919.0,8625.0,Surgery
410,Simple Closure of Perforated peptic Ulcer,9775.0,11241.0,9775.0,Surgery
411,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800.0,15870.0,13800.0,Surgery
412,Duodenojejunostomy,18950.0,21793.0,18950.0,Surgery
413,Partial/Subtotal Gastrectomy for Carcinoma,23000.0,26450.0,23000.0,Surgery
414,Partial/Subtotal Gastrectomy for Ulcer,22425.0,25789.0,22425.0,Surgery
415,Operation for Bleeding Peptic Ulcer,20976.0,24122.0,20976.0,Surgery
416,Operation for Gastrojejunal Ulcer,19780.0,22747.0,19780.0,Surgery
417,Total Gastrectomy for Cancer,22368.0,25723.0,22368.0,Surgery
418,Highly Selective Vagotomy,18630.0,21425.0,18630.0,Surgery
419,Selective Vagotomy & Drainage,18630.0,21425.0,18630.0,Surgery
420,Congenital Diaphragmatic Hernia,34000.0,40000.0,34000.0,Surgery
421,Hiatus Hernia Repair- Abdominal,28050.0,33000.0,28050.0,Surgery
422,Hiatus Hernia Repair- Transthoracic,28050.0,33000.0,28050.0,Surgery
423,Exploratory Laparotomy (open),21250.0,25000.0,21250.0,Surgery
424,Epigastric Hernia Repair,21250.0,25000.0,21250.0,Surgery
425,Umbilical Hernia Repair,11385.0,13093.0,11385.0,Surgery
426,Ventral /incisional Hernia Repair,10293.0,11837.0,10293.0,Surgery
427,Inguinal Hernia Herniorrhaphy,22100.0,26000.0,22100.0,Surgery
428,Inguinal Hernia - Hernioplasty,27200.0,32000.0,27200.0,Surgery
429,Femoral Hernia Repair,27200.0,32000.0,27200.0,Surgery
430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",18975.0,21821.0,18975.0,Surgery
431,Splenectomy - For Trauma,18975.0,21821.0,18975.0,Surgery
432,Splenectomy - For Hypersplenism,14490.0,16664.0,14490.0,Surgery
433,Splenorenal Anastomosis,23000.0,26450.0,23000.0,Surgery
434,Portocaval Anastomosis,28750.0,33063.0,28750.0,Surgery
435,Direct Operation on Oesophagus for Portal Hypertension,22885.0,26318.0,22885.0,Scan
436,Mesentericocaval Anastomosis,25450.0,29268.0,25450.0,Surgery
437,Warren Shunt (Distal Splenorenal Shunt),28750.0,33063.0,28750.0,Surgery
438,Pancreatico Duodenectomy (Whipple's procedure),21735.0,24995.0,21735.0,Surgery
439,By Pass Procedure for Inoperable Carcinoma of Pancreas,23000.0,26450.0,23000.0,Surgery
440,Cystojejunostomy or Cystogastrostomy,14490.0,16664.0,14490.0,Surgery
441,Cholecystectomy,20400.0,24000.0,20400.0,Surgery
442,Cholecystectomy & Exploration of CBD,28050.0,33000.0,28050.0,Surgery
443,Repair of Common Bile Duct (CBD),13600.0,15640.0,13600.0,Scan
444,Operation for Hydatid Cyst of Liver,22950.0,27000.0,22950.0,Surgery
445,Cholecystostomy,10292.0,11836.0,10292.0,Surgery
446,Hepatic Resections (Lobectomy /Hepatectomy),28050.0,33000.0,28050.0,Surgery
447,Operation on Adrenal Glands - Bilateral,26105.0,30021.0,26105.0,Surgery
448,Operation on Adrenal Glands - Unilateral,13800.0,15870.0,13800.0,Surgery
449,Appendicectomy,16150.0,19000.0,16150.0,Surgery
450,Appendicular Abscess – Drainage,9775.0,11241.0,9775.0,Surgery
451,Mesenteric Cyst- Excision,11040.0,12696.0,11040.0,Surgery
452,Peritonioscopy/Laparoscopy,4600.0,5290.0,4600.0,Surgery
453,Jejunostomy,5750.0,6613.0,5750.0,Surgery
454,Ileostomy,15410.0,17722.0,15410.0,Surgery
455,Resection & Anastomosis of Small Intestine including exploratory Laparotomy,40375.0,47500.0,40375.0,Test
456,Duodenal Diverticulum,18400.0,21160.0,18400.0,Surgery
457,Operation for Intestinal Obstruction,10350.0,11903.0,10350.0,Test
458,Operation for Intestinal perforation,38000.0,43700.0,38000.0,Test
459,Benign Tumours of Small Intestine,19550.0,22483.0,19550.0,Test
460,Excision of Small Intestine Fistula,38250.0,45000.0,38250.0,Test
461,Operations for GI Bleed,16000.0,18400.0,16000.0,Surgery
462,Operations for Haemorrhage of Small Intestines,19550.0,22483.0,19550.0,Test
463,Operations of the Duplication of the Intestines --- including exploratory Laparotomy,34850.0,41000.0,34850.0,Test
464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),23000.0,26450.0,23000.0,Test
465,Ileosigmoidostomy and related resection,16790.0,19309.0,16790.0,Surgery
466,Ileotransverse Colostomy and related resection,16790.0,19309.0,16790.0,Surgery
467,Caecostomy,3903.0,4488.0,3903.0,Surgery
468,Loop Colostomy Transverse Sigmoid,13110.0,15077.0,13110.0,Surgery
469,Terminal Colostomy,25500.0,30000.0,25500.0,Surgery
470,Closure of Colostomy,25500.0,30000.0,25500.0,Surgery
471,Right Hemi-colectomy,27200.0,32000.0,27200.0,Surgery
472,Left Hemi-colectomy,27200.0,32000.0,27200.0,Surgery
473,Total Colectomy,34000.0,40000.0,34000.0,Surgery
474,Operations for Volvulus of Large Bowel,24920.0,28658.0,24920.0,Surgery
475,Operations for Sigmoid Diverticulitis,18630.0,21425.0,18630.0,Surgery
476,Fissure in Ano with Internal sphinctrectomy with fissurectomy.,27200.0,32000.0,27200.0,Surgery
477,Fissure in Ano - Fissurectomy,24650.0,29000.0,24650.0,Surgery
478,Rectal Polyp-Excision,11645.0,13700.0,11645.0,Surgery
479,Fistula in Ano - High Fistulectomy,29750.0,35000.0,29750.0,Surgery
480,Fistula in Ano - Low Fistulectomy,19550.0,23000.0,19550.0,Surgery
481,Prolapse Rectum - Thiersch Wiring,10350.0,11903.0,10350.0,Surgery
482,Prolapse Rectum - Rectopexy,11900.0,14000.0,11900.0,Surgery
484,Operations for Hirschsprungs Disease,14260.0,16399.0,14260.0,Surgery
485,Excision of Pilonidal Sinus (open),18700.0,22000.0,18700.0,Surgery
486,Excision of Pilonidal Sinus with closure,21250.0,25000.0,21250.0,Surgery
487,Abdomino-Perineal Excision of Rectum,18300.0,21045.0,18300.0,Surgery
488,Anterior Resection of rectum,21850.0,25128.0,21850.0,Surgery
489,Pull Through Abdominal Resection,17170.0,19746.0,17170.0,Surgery
490,Retro Peritoneal Tumor Removal,18000.0,20700.0,18000.0,Surgery
491,Radio ablation of varicose veins (RFA Ablation),7225.0,8500.0,7225.0,Surgery
492,Laser ablation of varicose veins,34000.0,40000.0,34000.0,Surgery
493,Laparoscopic Fundoplication,19300.0,22195.0,19300.0,Surgery
494,Laparoscopic Splenectomy,25000.0,28750.0,25000.0,Surgery
495,Laparoscopic Removal of hydatid cyst,18000.0,20700.0,18000.0,Surgery
496,Laparoscopic treatment of Pseudo Pancreatic cyst,18000.0,20700.0,18000.0,Surgery
497,Laparoscopic Whipple's operation (Laparoscopic Pancreatico Duodenectomy,20000.0,23000.0,20000.0,Surgery
498,Laparoscopic GI bypass operation,22000.0,25300.0,22000.0,Surgery
499,Laparoscopic Total Colectomy,25000.0,28750.0,25000.0,Surgery
500,Laparoscopic Hemicolectomy,23000.0,26450.0,23000.0,Surgery
501,Laparoscopic Anterior Resection (of Intestine/ Rectum),23000.0,26450.0,23000.0,Test
502,Laparoscopic Cholecystetomy,28050.0,33000.0,28050.0,Surgery
503,Laparoscopic Appedicectomy,25500.0,30000.0,25500.0,Surgery
504,Laparoscopic Hernia inguinoplasty (including Tacker and Mesh),29750.0,35000.0,29750.0,Surgery
505,Laparoscopic ventral Hernia Repair,17500.0,20125.0,17500.0,Surgery
506,Laparoscopic Paraumblical Hernia Repair,17500.0,20125.0,17500.0,Surgery
507,Laparoscopic Adrenelectomy,12000.0,13800.0,12000.0,Surgery
508,Laparoscopic Nephrectomy,22000.0,25300.0,22000.0,Surgery
511,Coronary Care with Cardiac Monitoring (Room Rent extra),750.0,863.0,750.0,Test
512,Compressed air / piped oxygen /per hour,50.0,58.0,50.0,Surgery
513,Ventilator charges (Per day),531.0,611.0,531.0,Surgery
514,Paediatric care for New born (Per day),186.0,214.0,186.0,Surgery
515,Incubator charges (Per day),345.0,397.0,345.0,Surgery
516,Neonatal ICU charges (Per day),391.0,450.0,391.0,Surgery
517,Resuscitation,184.0,212.0,184.0,Surgery
518,Exchange Transfusion,265.0,305.0,265.0,Surgery
519,Pneupack ventilator in Nursery (Per day),575.0,661.0,575.0,Surgery
520,Atrial Septal Defect(ASD) closure,84065.0,98900.0,84065.0,Surgery
521,Ventricular septal defect (VSD) closure,93415.0,109900.0,93415.0,Scan
522,TOF/TAPVC/TCPC/REV/RSOV repair,127075.0,146136.0,127075.0,Surgery
523,BD Glenn/Left atrium myxoma,80750.0,92863.0,80750.0,Surgery
524,Senning/Arterial Switch Operation (ASO) with graft,122188.0,140516.0,122188.0,Surgery
525,Double Switch Operation (DSO),103615.0,119157.0,103615.0,Surgery
526,Atrioventricular(AV) canal repair,161000.0,185150.0,161000.0,Surgery
527,Fontan procedure,169000.0,194350.0,169000.0,Surgery
528,Conduit repair,169000.0,194350.0,169000.0,Surgery
529,Coronary Artery Bypass Graft surgery (CABG),127075.0,146136.0,127075.0,Surgery
530,CABG + Intra-Aortic Balloon Pump (IABP),169000.0,194350.0,169000.0,Surgery
531,CABG + Valve.,169000.0,194350.0,169000.0,Surgery
532,CABG without bypass.,140000.0,161000.0,140000.0,Surgery
533,Ascending aorta replacement,130000.0,149500.0,130000.0,Surgery
534,Double Valve Replacement (DVR),155422.0,178735.0,155422.0,Surgery
535,Mitral valve Replacement(MVR)/ Aortic valve Replacement(AVR),103615.0,119157.0,103615.0,Surgery
536,Mitral Valve repair + Aortic Valve repair,103615.0,119157.0,103615.0,Surgery
537,Aorta femoral bypass,52000.0,59800.0,52000.0,Surgery
538,Blalock-Taussig shunt (BT Shunt) / Coarctation,51980.0,59777.0,51980.0,Surgery
539,Pulmonary Artery Banding (PA Banding) Septostomy,51980.0,59777.0,51980.0,Surgery
540,Pericardectomy,42320.0,48668.0,42320.0,Surgery
541,"Patent ductus arteriosus (PDA), device closure",46750.0,55000.0,46750.0,Surgery
542,Gunshot injury,51980.0,59777.0,51980.0,Surgery
543,Heart transplant,276000.0,317400.0,276000.0,Surgery
544,Balloon coronary angioplasty/Percutaneous transluminal coronary angioplasty (PTCA) / Percutaneous coronary intervention (PCI) with Vascular closure device (VCD),78200.0,92000.0,78200.0,Surgery
545,Balloon coronary angioplasty/Percutaneous transluminal coronary angioplasty (PTCA) / Percutaneous coronary intervention (PCI) without Vascular closure device (VCD),71150.0,83725.0,71150.0,Surgery
546,Rotablation,47775.0,56206.0,47775.0,Surgery
547,Balloon Mitral Valvotomy / Percutaneous transvenous mitral commissurotomy (PTMC),77000.0,90700.0,77000.0,Surgery
548,Cardiac Catheterization (CATH),11510.0,13545.0,11510.0,Test
549,Aortic Arch Replacement,10350.0,11903.0,10350.0,Surgery
550,Aortic Dissection,12650.0,14548.0,12650.0,Surgery
551,Thoraco Abdominal Aneurism Repair,15000.0,17250.0,15000.0,Surgery
552,Embolectomy,21000.0,24150.0,21000.0,Surgery
553,Vascular Repair,36000.0,41400.0,36000.0,Surgery
554,Bentall Repair with Prosthetic Valve,30000.0,34500.0,30000.0,Surgery
555,Bentall Repair with Biologic Valve,127500.0,146625.0,127500.0,Surgery
556,Coaractation dilatation/ Balloon dilatation of Aortic coarctation - including cost of Balloon,60860.0,71600.0,60860.0,Surgery
557,Coaractation dilatation with Stenting,18500.0,21275.0,18500.0,Surgery
558,Temporary Pacemaker implantation (TPI) (Temporary Cardiac Pacing) Singlecardiac pacing (TPI) Single Chamber,16320.0,19200.0,16320.0,Surgery
559,Temporary cardiac pacing (TPI) Dual Chamber,8160.0,9384.0,8160.0,Surgery
560,Permanent pacemaker implantation (PPI)- Single Chamber,27200.0,32000.0,27200.0,Surgery
561,Permanent pacemaker implantation- Dual Chamber,36550.0,43000.0,36550.0,Surgery
562,Permanent pacemaker implantation (PPI)-Biventricular,42180.0,49625.0,42180.0,Surgery
563,Automatic implantable cardioverter defibrillator (AICD) Single Chamber,42500.0,50000.0,42500.0,Surgery
564,Automatic implantable cardioverter defibrillator (AICD) Dual Chamber,44500.0,52350.0,44500.0,Surgery
565,Combo device implantation,50150.0,59000.0,50150.0,Surgery
566,Diagnostic Electrophysiological studies conventional (including catheter),56100.0,66000.0,56100.0,Surgery
567,Ambulatory BP monitoring,1000.0,1000.0,1000.0,Test
568,External Loop/event recording (Maximum up to 7 days),1500.0,1500.0,1500.0,Surgery
569,Radiofrequency (RF) ablation conventional,81600.0,96000.0,81600.0,Surgery
570,Radiofrequency (RF) ablation Atrial Tachycardia/ with 3-D mapping-All inclusive,153850.0,181000.0,153850.0,Surgery
572,Intra-aortic balloon pump (IABP) - including Cost of Balloon,42500.0,50000.0,42500.0,Surgery
573,Intra vascular coils,63750.0,75000.0,63750.0,Surgery
574,Septostomy- Balloon,25500.0,30000.0,25500.0,Surgery
575,Septostomy- Blade,19550.0,22483.0,19550.0,Surgery
576,Aortic valve balloon dilatation (AVBD) / pulmonary valve balloon dilatation (PVBD),47940.0,56400.0,47940.0,Surgery
577,Digital subtraction angiography-Peripheral artery,12400.0,14610.0,12400.0,Scan
578,Digital subtraction angiography- venogram,12400.0,14610.0,12400.0,Scan
579,CT Guided biopsy,1265.0,1455.0,1265.0,Scan
580,Sinogram,863.0,992.0,863.0,Surgery
581,Peripheral Angioplasty with VCD,46750.0,55500.0,46750.0,Surgery
582,Peripheral Angioplasty without VCD,11500.0,13225.0,11500.0,Surgery
583,Renal Angioplasty,46750.0,55000.0,46750.0,Surgery
584,Intravascular ultrasound (IVUS),50000.0,50000.0,50000.0,Scan
585,Fractional flow reserve (FFR) - inclusive of cost of wire,30000.0,30000.0,30000.0,Surgery
586,Holter analysis,2125.0,2500.0,2125.0,Scan
587,Aortic stent grafting for aortic aneurysm,78500.0,90275.0,78500.0,Surgery
588,Inferior Vena Cava (IVC) filter implantation (Cost of Filter extra),25500.0,30000.0,25500.0,Surgery
590,ECG,150.0,175.0,150.0,Scan
591,Head--up tilt test (HUTT),3400.0,4000.0,3400.0,Scan
592,Echo,1255.0,1475.0,1255.0,Scan
593,3D echocardiography,1403.0,1613.0,1403.0,Scan
594,Fetal Echo,1360.0,1600.0,1360.0,Scan
595,2D Transesophageal Echocardiography (TEE),1403.0,1613.0,1403.0,Scan
596,3D Transesophageal Echocardiography (TEE),1403.0,1613.0,1403.0,Scan
597,Stress Echo,2040.0,2400.0,2040.0,Scan
598,D-Stress Echo,2550.0,3000.0,2550.0,Scan
599,Stress Myocardial Perfusion Imaging (MPI)- exercise,7650.0,9000.0,7650.0,Surgery
600,Stress Myocardial Perfusion Imaging (MPI) - pharmacological,7650.0,9000.0,7650.0,Surgery
601,Coronary angiography,11240.0,13225.0,11240.0,Scan
602,CT coronary angiography,6030.0,6935.0,6030.0,Scan
603,Cardiac CT scan,2272.0,2613.0,2272.0,Scan
604,MRI Cardiac,6800.0,8000.0,6800.0,Scan
605,Stress Cardiac MRI,3000.0,3450.0,3000.0,Scan
606,MR angiography.,5635.0,6480.0,5635.0,Scan
607,Cardiac PET,1500.0,1725.0,1500.0,Scan
608,Pericardiocentesis,8500.0,10000.0,8500.0,Surgery
609,Other Major Surgery-Cardiovascular and Cardiac Surgery & Investigations,20000.0,23000.0,20000.0,Surgery
610,Other Minor Surgery-Cardiovascular and Cardiac Surgery & Investigations,4250.0,4888.0,4250.0,Surgery
611,Normal delivery with or without Episiotomy & P. repair,8000.0,9200.0,8000.0,Surgery
612,vacuum delivery,8625.0,9919.0,8625.0,Surgery
613,Forceps Delivery,9200.0,10580.0,9200.0,Surgery
614,Cesarean Section(CS),14050.0,16158.0,14050.0,Surgery
615,Cesarean Hysterectomy,18975.0,21821.0,18975.0,Surgery
616,Rupture Uterus closure & repair with Tubal Ligation,17250.0,19838.0,17250.0,Surgery
617,Perforation of Uterus after D/E Laparotomy & Closure,13800.0,15870.0,13800.0,Surgery
618,Laparotomy for Ectopic pregnancy,13800.0,15870.0,13800.0,Surgery
619,Laparotomy-peritonitis Lavage and Drainage,11500.0,13225.0,11500.0,Surgery
620,Salphingo-Oophorectomy/ Oophorectomy Laparoscopic,10000.0,11500.0,10000.0,Surgery
621,Ovarian Cystectomy-laparoscopic.,10350.0,11903.0,10350.0,Surgery
622,Ovarian Cystectomy -laparotomy.,13800.0,15870.0,13800.0,Surgery
623,Salpingo-Oophorectomy-laparotomy,11520.0,13248.0,11520.0,Surgery
624,Laparoscopic Broad Ligament Hematoma Drainage with repair,6900.0,7935.0,6900.0,Surgery
625,Exploration of perineal Haematoma & Repair,8000.0,9200.0,8000.0,Surgery
626,Exploration of abdominal Haematoma (after laparotomy + LSCS),8050.0,9258.0,8050.0,Surgery
627,Manual Removal of Placenta,3450.0,3968.0,3450.0,Surgery
628,Examination under anesthesia (EUA),1000.0,1150.0,1000.0,Surgery
629,Burst-abdomen Repair,10000.0,11500.0,10000.0,Surgery
630,Gaping Perineal Wound Secondary Suturing,1656.0,1904.0,1656.0,Surgery
631,Gaping abdominal wound Secondary Suturing,3450.0,3968.0,3450.0,Surgery
632,Complete perineal tear-repair,2128.0,2447.0,2128.0,Surgery
633,Exploration of PPH-tear repair,3500.0,4025.0,3500.0,Surgery
634,Suction evacuation vesicular mole,5000.0,5750.0,5000.0,Surgery
635,Suction evacuation Missed abortion/ incomplete abortion,5175.0,5951.0,5175.0,Surgery
636,Colpotomy,3450.0,3968.0,3450.0,Surgery
637,Repair of post-coital tear/ perineal injury,3508.0,4034.0,3508.0,Surgery
638,Excision of urethral caruncle,3450.0,3968.0,3450.0,Surgery
639,Shirodhkar/ McDonald stitch,3220.0,3703.0,3220.0,Surgery
640,Abdominal Hysterectomy with or without salpingo- oophorectomy,17250.0,19838.0,17250.0,Surgery
641,Non-descent Vaginal Hysterectomy (NDVH),17250.0,19838.0,17250.0,Surgery
642,Vaginal Hysterectomy with repairs (UV Prolapse),17250.0,19838.0,17250.0,Surgery
643,Myomectomy -laparotomy,14000.0,16100.0,14000.0,Surgery
644,Myomectomy -laparoscopic,6325.0,7274.0,6325.0,Surgery
645,Vaginoplasty,14950.0,17193.0,14950.0,Surgery
646,Vulvectomy -Simple,9200.0,10580.0,9200.0,Surgery
647,Vulvectomy-Radical,9200.0,10580.0,9200.0,Surgery
648,Rectovaginal Fistula (RVF) Repair,18975.0,21821.0,18975.0,Surgery
649,Manchester Operation,15000.0,17250.0,15000.0,Surgery
650,Shirodkar’s sling Operation or other sling operations for prolapse uterus,3450.0,3968.0,3450.0,Surgery
651,Laparoscopic sling operations for prolapse uterus,28000.0,32200.0,28000.0,Surgery
652,Diagnostic Curettage,2484.0,2857.0,2484.0,Surgery
653,Cervical Biopsy,1800.0,2070.0,1800.0,Surgery
654,Polypectomy,1518.0,1746.0,1518.0,Surgery
655,Other-Minor Operation Endometrial,2300.0,2645.0,2300.0,Surgery
656,Excision Vaginal Cyst/Bartholin Cyst,3450.0,3968.0,3450.0,Surgery
657,Excision Vaginal Septum,4600.0,5290.0,4600.0,Surgery
658,Laparoscopy -Diagnostic with chromopertubation and or adhesiolysis and drilling,4025.0,4629.0,4025.0,Scan
659,Laparoscopy Sterilization,3450.0,3968.0,3450.0,Surgery
660,Laparoscopically Assisted Vaginal Hysterectomy (LAVH),25243.0,29029.0,25243.0,Surgery
661,Balloon Temponade for Post Partum Haemorrhage (PPH),2800.0,3220.0,2800.0,Surgery
662,Total laparoscopic hysterectomy,25243.0,29029.0,25243.0,Surgery
663,Laparoscopic treatment of Ectopic pregnancy-salpingectomy/salpingostomy conservative,9775.0,11241.0,9775.0,Surgery
664,Conisation of cervix,4025.0,4629.0,4025.0,Surgery
665,Trachelectomy of cervix for early CA cervix,5500.0,6325.0,5500.0,Surgery
666,Hysteroscopic cannulation,2875.0,3306.0,2875.0,Surgery
667,Laparotomy recannalization of Fallopian tubes- (Tubuloplasty),22425.0,25789.0,22425.0,Surgery
668,Laparoscopic recannalization of Fallopian tubes- (Tubuloplasty),19500.0,22425.0,19500.0,Surgery
669,Colposcopy,958.0,1102.0,958.0,Scan
670,Inversion of Uterus – Vaginal Reposition,2500.0,2875.0,2500.0,Surgery
671,Inversion of Uterus – Abdominal Reposition,2500.0,2875.0,2500.0,Surgery
672,Laparoscopic Vesicovaginal Fistula (VVF) Repair,28000.0,32200.0,28000.0,Surgery
673,Abdominal Vesicovaginal Fistula (VVF) Repair,28000.0,32200.0,28000.0,Surgery
674,Vaginal Vesicovaginal Fistula (VVF) Repair,28000.0,32200.0,28000.0,Surgery
675,Interventional Ultrasonography- Chorionic villus sampling (CVS),880.0,1012.0,880.0,Surgery
676,Amniocentesis,880.0,1012.0,880.0,Surgery
677,Karyotyping,800.0,920.0,800.0,Test
678,Thermal balloon ablation.,11500.0,13225.0,11500.0,Surgery
679,Ultrasonographic myolysis,10293.0,11837.0,10293.0,Surgery
680,Vaginal Myomectomy,10000.0,11500.0,10000.0,Surgery
681,Intra Uterine Inseminition,920.0,1058.0,920.0,Surgery
682,Intracytoplasmic sperm injection (ICSI),11500.0,13225.0,11500.0,Surgery
683,Laparotomy abdominal sacro-colpopexy,15000.0,17250.0,15000.0,Surgery
684,Vaginal Colpopexy,22000.0,25300.0,22000.0,Surgery
685,Laparoscopic abdominal sacro-colpopexy,20000.0,23000.0,20000.0,Surgery
686,Laparotomy pelvic Lymphadenectomy,1200.0,1380.0,1200.0,Surgery
687,Laparoscopic pelvic Lymphadenectomy,3500.0,4025.0,3500.0,Surgery
688,Endometrial aspiration cytology/biopsy,570.0,656.0,570.0,Surgery
689,Transvaginal sonography (TVS for Follicular monitioring /aspiration),460.0,529.0,460.0,Scan
690,laparoscopic treatment for stress incontinence,15000.0,17250.0,15000.0,Surgery
691,Transvaginal tapes for Stress incontinence,15000.0,17250.0,15000.0,Surgery
692,trans-obturator tapes for Stress incontinence,12000.0,13800.0,12000.0,Surgery
693,Interventional radiographic arterial embolization,18000.0,20700.0,18000.0,Surgery
694,Diagnostic cystoscopy,2875.0,3306.0,2875.0,Scan
695,Staging laparotomy surgery for Carcinoma Ovary,6325.0,7274.0,6325.0,Surgery
696,Internal Iliac ligation,3393.0,3902.0,3393.0,Surgery
697,stepwise devascularisation,9200.0,10580.0,9200.0,Surgery
698,Assisted breech delivery,10925.0,12564.0,10925.0,Surgery
699,Intra-uterine fetal blood transfusion,21275.0,24466.0,21275.0,Test
700,Hysteroscopy Transcervical Resection of Endometrium (TCRE),8500.0,9775.0,8500.0,Scan
701,Hysteroscopy Removal of Intra-uterine Contraceptive Device (IUCD),7500.0,8625.0,7500.0,Scan
702,Hysteroscopy Removal of Septum,11000.0,12650.0,11000.0,Scan
703,Hysteroscopy Diagnostic,7500.0,8625.0,7500.0,Scan
704,Radical Hysterectomy for Cancer cervix with pelvic lymphadenectomy,8500.0,9775.0,8500.0,Surgery
705,Radical Hysterectomy for Cancer endometrium extending to cervix with pelvic and para aortic lymphadenectomy,8500.0,9775.0,8500.0,Surgery
706,Sterilization Post partum (minilap),3750.0,4313.0,3750.0,Surgery
707,Sterilization interval (minilap),3750.0,4313.0,3750.0,Surgery
708,Ultrasonography Level II scan/Anomaly Scan,1700.0,2000.0,1700.0,Scan
709,Fetal nuchal Translucency,300.0,345.0,300.0,Test
710,USG Colour Doppler Pregnancy,1425.0,1675.0,1425.0,Scan
711,Medical Termination of Pregnancy (MTP)- 1st Trimester,3000.0,3450.0,3000.0,Surgery
712,Medical Termination of Pregnancy (MTP) - 2nd Trimester,4370.0,5026.0,4370.0,Surgery
713,Quadruple test,2000.0,2300.0,2000.0,Test
714,Biophysical score,600.0,690.0,600.0,Test
715,Other Major Surgery-Obstetrics and Gynaecology,28000.0,32200.0,28000.0,Surgery
716,Other Minor Surgery-Obstetrics and Gynaecology,5000.0,5750.0,5000.0,Surgery
717,Partial Nephrectomy -open,16215.0,18647.0,16215.0,Surgery
718,Partial Nephrectomy-Laparoscopic/endoscopic,14490.0,16664.0,14490.0,Surgery
719,Nephrolithomy -open,12000.0,13800.0,12000.0,Surgery
720,Nephrolithomy -Laparoscopic/endoscopic,14000.0,16100.0,14000.0,Surgery
721,Pyelolithotomy-open,13000.0,14950.0,13000.0,Surgery
722,Pyelolithotomy -Laparoscopic/endoscopic,10580.0,12167.0,10580.0,Surgery
723,Operations for Hydronephrosis -pyeloplasty open,18400.0,21160.0,18400.0,Surgery
724,Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,19000.0,21850.0,19000.0,Surgery
725,Operations for Hydronephrosis Endopyelotomy antegrade,20000.0,23000.0,20000.0,Surgery
726,Operations for Hydronephrosis Endoplyelotomy retrograde,20000.0,23000.0,20000.0,Surgery
727,Operations for Hydronephrosis -ureterocalicostomy,18000.0,20700.0,18000.0,Surgery
728,Operations for Hydronephrosis-Ileal ureter,18000.0,20700.0,18000.0,Surgery
729,Open Drainage of Perinephric Abscess,8000.0,9200.0,8000.0,Surgery
730,Percutaneous Drainage of Perinephric Abscess -Ultrasound guided,5750.0,6613.0,5750.0,Scan
731,Cavernostomy,9775.0,11241.0,9775.0,Surgery
732,Operations for Cyst of the Kidney -open,11960.0,13754.0,11960.0,Surgery
733,Operations for Cyst of the Kidney -Lap/endoscopic,14030.0,16135.0,14030.0,Surgery
734,Ureterolithotomy -open,13248.0,15235.0,13248.0,Surgery
735,Ureterolithotomy-Lap/Endoscopic,10000.0,11500.0,10000.0,Surgery
736,Nephroureterectomy open,16100.0,18515.0,16100.0,Surgery
737,Nephroureterectomy -Lap/Endoscopic,16100.0,18515.0,16100.0,Surgery
738,Operations for Ureter for -Double Ureters,19000.0,21850.0,19000.0,Surgery
739,Operations for Ureter -for Ectopia of Single Ureter,18000.0,20700.0,18000.0,Surgery
740,Operations for Vesicoureteric Reflux (VUR) -Open,18000.0,20700.0,18000.0,Surgery
